id_vuelo,ruta,distancia_km,peso_kg,dim_l_cm,dim_a_cm,dim_h_cm,bateria_inicio,bateria_fin,clima,viento,temperatura,obstaculos,trafico_aereo,fecha_salida,fecha_llegada,resultado_entrega
V37,RUTA_C,8.690001654138175,20.83986732157375,54,27,17,90,72.61999669172366,NUBLADO,MEDIO,18.601527154885076,0,0,2026-01-01 07:25:00,2026-01-01 07:49:01.019642,1
V38,RUTA_A,3.880180835585199,6.873830641687656,28,63,23,83,75.2396383288296,SOLEADO,BAJO,12.13475045693947,0,0,2026-01-01 17:07:00,2026-01-01 17:23:27.424825,1
V39,RUTA_C,11.825964892833998,3.800396331672245,43,52,25,84,60.348070214332004,SOLEADO,ALTO,16.600544465485537,0,0,2026-01-01 13:54:00,2026-01-01 14:21:51.686476,1
V40,RUTA_A,17.571087338147024,1.255594174272837,22,48,28,80,41.85782532370595,SOLEADO,BAJO,9.180485783470704,0,1,2026-01-01 07:04:00,2026-01-01 07:28:15.722180,1
V41,RUTA_C,15.035258223419255,7.047052990126218,52,70,42,97,63.92948355316149,SOLEADO,MUY_ALTO,6.892035169867796,0,1,2026-01-01 13:24:00,2026-01-01 13:43:57.955768,0
V42,RUTA_C,2.0201392740132005,35.688793631834294,71,51,8,91,86.95972145197359,SOLEADO,MEDIO,16.563313706111,0,0,2026-01-01 09:30:00,2026-01-01 09:52:05.840032,1
V43,RUTA_A,7.395899432140248,10.04070524721643,31,27,28,92,77.2082011357195,SOLEADO,BAJO,20.40239042704524,0,0,2026-01-01 15:32:00,2026-01-01 15:39:49.287247,1
V44,RUTA_A,16.73491115623462,14.49371742508002,61,32,39,88,54.53017768753076,NUBLADO,BAJO,17.01174725706032,0,0,2026-01-01 12:24:00,2026-01-01 12:31:31.897771,1
V45,RUTA_C,9.551743708469363,4.661146637012661,61,63,7,81,61.89651258306127,SOLEADO,BAJO,15.746215744223417,0,0,2026-01-01 16:28:00,2026-01-01 16:45:41.455084,1
V46,RUTA_B,12.255901038739045,9.283271537552727,45,39,8,84,59.488197922521906,SOLEADO,MEDIO,15.249863519780506,0,0,2026-01-01 15:41:00,2026-01-01 15:55:12.128456,1
V47,RUTA_A,16.514188875053637,21.0093705458181,28,67,41,92,58.971622249892725,LLUVIA,BAJO,12.229738434227738,0,0,2026-01-01 07:30:00,2026-01-01 07:36:02.248957,1
V48,RUTA_B,15.854509737137972,24.506230982278275,47,77,44,95,58.29098052572405,NUBLADO,ALTO,15.112556384818776,1,0,2026-01-01 09:22:00,2026-01-01 09:33:06.350551,1
V49,RUTA_B,9.530946384188686,10.191416409565337,79,76,52,95,75.93810723162262,LLUVIA,MEDIO,17.68673787305778,0,0,2026-01-01 12:43:00,2026-01-01 12:48:32.608257,1
V50,RUTA_B,8.439987145179234,2.7804202893921297,66,27,58,82,62.12002570964153,SOLEADO,BAJO,14.259111068797486,0,1,2026-01-01 12:14:00,2026-01-01 12:28:47.657613,1
V51,RUTA_A,6.7747745141529805,15.945798330532247,29,16,39,83,69.45045097169404,SOLEADO,MEDIO,19.002347415343106,0,0,2026-01-01 12:55:00,2026-01-01 13:17:33.626292,1
V52,RUTA_B,13.223330533769149,9.751033151590198,18,49,35,90,58.5533389324617,SOLEADO,ALTO,16.78390013545841,1,0,2026-01-01 13:36:00,2026-01-01 14:05:36.966554,1
V53,RUTA_A,5.878775591016235,9.172379967577177,41,79,48,93,81.24244881796753,SOLEADO,BAJO,17.267917671093628,0,0,2026-01-01 07:39:00,2026-01-01 07:54:44.605513,1
V54,RUTA_B,5.2480893093253025,38.414580707181486,13,74,29,82,71.5038213813494,SOLEADO,BAJO,19.55465101420384,0,0,2026-01-01 11:05:00,2026-01-01 11:20:25.579806,1
V55,RUTA_C,7.056248208264262,24.8438691940661,59,77,44,95,80.88750358347147,SOLEADO,BAJO,13.892978269380038,0,0,2026-01-01 13:57:00,2026-01-01 14:14:14.742091,1
V56,RUTA_C,4.012655966939464,22.496698505297786,14,58,17,94,85.97468806612108,SOLEADO,ALTO,18.637522344747808,0,0,2026-01-01 12:12:00,2026-01-01 12:27:48.533988,1
V57,RUTA_A,12.817036871078045,16.923116589171215,29,61,8,89,63.36592625784391,SOLEADO,MEDIO,14.454093130992103,0,0,2026-01-01 17:54:00,2026-01-01 18:22:11.342023,1
V58,RUTA_C,11.476091038620408,17.4433011704907,46,38,50,88,65.04781792275918,NUBLADO,MEDIO,17.35805793527536,0,0,2026-01-01 09:41:00,2026-01-01 09:48:47.390887,1
V59,RUTA_C,9.208935079969342,21.86574765160419,31,30,18,90,71.58212984006131,SOLEADO,ALTO,13.416914597453726,0,0,2026-01-01 16:04:00,2026-01-01 16:33:55.755377,1
V60,RUTA_B,7.635538247446429,28.008977377926236,67,18,17,95,79.72892350510715,NUBLADO,ALTO,12.357184707741071,0,0,2026-01-01 09:30:00,2026-01-01 09:43:56.677389,1
V61,RUTA_A,16.454063229244433,28.234770799182265,77,56,31,89,56.091873541511134,NUBLADO,MEDIO,16.367458982593973,0,0,2026-01-01 17:17:00,2026-01-01 17:39:46.694277,1
V62,RUTA_B,1.4951043448147898,7.281909354365258,53,51,10,96,93.00979131037042,LLUVIA,ALTO,8.45919979191553,0,0,2026-01-01 09:32:00,2026-01-01 09:51:31.569737,1
V63,RUTA_B,14.074831639624085,20.254453707026766,43,60,21,98,69.85033672075183,SOLEADO,BAJO,14.814930225964472,0,0,2026-01-01 17:19:00,2026-01-01 17:44:17.719660,1
V64,RUTA_B,16.332462719731108,16.772344753847026,51,65,40,81,48.335074560537784,LLUVIA,BAJO,9.574491977563278,0,0,2026-01-01 14:54:00,2026-01-01 15:17:25.494468,1
V65,RUTA_B,8.588027850308741,34.88581516764068,18,60,44,81,63.82394429938252,NUBLADO,BAJO,19.11693613725443,0,0,2026-01-01 08:08:00,2026-01-01 08:33:37.021859,1
V66,RUTA_B,10.361738355000995,25.441047388125867,16,79,53,85,64.27652328999801,SOLEADO,BAJO,20.200442384435657,0,0,2026-01-01 09:18:00,2026-01-01 09:46:15.549987,1
V67,RUTA_B,17.055882693994644,21.533910623431282,77,29,39,98,60.88823461201071,LLUVIA,MEDIO,12.544195114316777,0,1,2026-01-01 10:22:00,2026-01-01 10:48:26.490596,1
V68,RUTA_B,4.608717759853745,5.058088366067237,28,36,21,87,77.7825644802925,LLUVIA_FUERTE,MUY_ALTO,17.713251849893986,0,0,2026-01-01 09:11:00,2026-01-01 09:28:51.790405,0
V69,RUTA_A,9.842292412339644,24.422696628274753,40,47,45,82,62.31541517532071,SOLEADO,BAJO,19.596542854749966,0,0,2026-01-01 07:16:00,2026-01-01 07:37:30.178354,1
V70,RUTA_C,9.070259161179619,5.12955427436922,44,74,6,93,74.85948167764076,SOLEADO,BAJO,19.609876890007133,0,0,2026-01-01 16:01:00,2026-01-01 16:23:57.670922,1
V71,RUTA_B,5.392675013796292,13.819659734847207,66,63,17,95,84.21464997240741,LLUVIA,MEDIO,16.857803335886565,0,0,2026-01-01 12:16:00,2026-01-01 12:22:07.673818,1
V72,RUTA_B,14.916084916342834,6.142257610166109,70,33,56,80,47.167830167314335,LLUVIA,MUY_ALTO,18.937218702245985,0,1,2026-01-01 17:12:00,2026-01-01 17:34:38.234323,0
V73,RUTA_B,16.29321011097501,27.83690905746257,40,56,6,82,49.41357977804998,SOLEADO,BAJO,13.402674752318424,0,0,2026-01-01 14:57:00,2026-01-01 15:21:52.020863,1
V74,RUTA_B,14.29285385639955,8.646958496528027,62,72,56,97,68.41429228720091,SOLEADO,MEDIO,16.33248986262672,0,0,2026-01-01 14:58:00,2026-01-01 15:14:01.674246,1
V75,RUTA_B,4.321102334426342,15.978445240927027,41,66,32,88,79.35779533114732,NUBLADO,BAJO,14.131586372836896,0,0,2026-01-01 14:48:00,2026-01-01 15:08:37.540182,1
V76,RUTA_B,2.4747268035234864,35.879153715941754,75,64,47,85,77.05054639295302,NUBLADO,BAJO,13.064848104858545,0,1,2026-01-01 16:14:00,2026-01-01 16:39:03.689723,1
V77,RUTA_C,11.29255625019082,8.570497144259326,68,69,30,80,54.41488749961836,NUBLADO,MUY_ALTO,16.14425356587851,0,1,2026-01-01 06:29:00,2026-01-01 06:43:28.330635,0
V78,RUTA_C,1.970610928668027,20.558300026371775,19,71,26,89,82.05877814266395,NUBLADO,MUY_ALTO,17.390121504632297,0,1,2026-01-01 06:24:00,2026-01-01 06:31:33.112387,0
V79,RUTA_B,12.438040105487431,17.06123061605787,11,39,51,85,60.12391978902514,NUBLADO,BAJO,20.654035071819948,0,0,2026-01-01 13:13:00,2026-01-01 13:39:50.732732,1
V80,RUTA_C,10.017211745563126,1.2158996213063245,75,31,47,91,70.96557650887375,LLUVIA,MUY_ALTO,17.06062210919555,0,0,2026-01-01 07:26:00,2026-01-01 07:42:16.633931,0
V81,RUTA_A,12.267357456642282,31.813945486126105,69,38,59,83,53.46528508671544,SOLEADO,MEDIO,18.567722139846204,1,0,2026-01-01 16:55:00,2026-01-01 17:20:21.451476,1
V82,RUTA_B,11.032903152045648,3.2273132994266893,26,50,7,92,69.9341936959087,SOLEADO,ALTO,18.61313269299815,0,0,2026-01-01 12:14:00,2026-01-01 12:38:17.357159,1
V83,RUTA_A,8.185943681961938,19.23307332858967,25,51,39,96,76.62811263607612,LLUVIA,MEDIO,26.75013746278784,0,1,2026-01-01 12:16:00,2026-01-01 12:24:57.138506,1
V84,RUTA_A,4.4149120623838805,22.64679265008852,25,74,16,87,78.17017587523225,LLUVIA,MEDIO,8.759870386909682,0,0,2026-01-01 07:29:00,2026-01-01 07:38:42.552348,1
V85,RUTA_B,6.196936308778305,25.32284503627619,55,40,28,99,83.60612738244339,NUBLADO,MEDIO,13.24826453265129,0,1,2026-01-01 10:12:00,2026-01-01 10:40:15.793902,1
V86,RUTA_C,9.9165097617226,27.700949357661084,48,39,9,82,62.1669804765548,NUBLADO,MEDIO,21.896224209952322,0,0,2026-01-01 15:35:00,2026-01-01 15:50:49.202342,1
V87,RUTA_A,12.0817575920093,10.504259149147245,40,27,24,91,66.83648481598141,SOLEADO,BAJO,14.591947700586104,0,0,2026-01-01 11:55:00,2026-01-01 12:06:38.414186,1
V88,RUTA_B,14.251211287036984,0.8941616780087502,10,26,43,86,57.49757742592603,NUBLADO,BAJO,19.543212550406878,0,0,2026-01-01 14:27:00,2026-01-01 14:52:04.148507,1
V89,RUTA_A,14.041902213634033,29.076024663019023,20,47,43,91,62.91619557273194,NUBLADO,BAJO,16.920038095051346,0,0,2026-01-01 08:52:00,2026-01-01 08:58:02.732436,1
V90,RUTA_A,17.53570863543845,21.658435674229356,13,23,17,81,45.9285827291231,SOLEADO,ALTO,24.420809604832044,0,0,2026-01-01 13:29:00,2026-01-01 13:48:03.768179,1
V91,RUTA_A,5.85930462727796,33.52664927668633,35,65,45,93,81.28139074544409,SOLEADO,BAJO,11.547782291745152,0,0,2026-01-01 10:49:00,2026-01-01 11:10:05.840913,1
V92,RUTA_A,2.2088820396284254,32.94484033457742,59,31,57,84,76.58223592074314,NUBLADO,MEDIO,20.88720221007525,0,1,2026-01-01 12:36:00,2026-01-01 12:47:15.872365,1
V93,RUTA_C,6.8761679042116075,33.81138362762138,21,76,49,88,74.24766419157679,SOLEADO,MUY_ALTO,22.998325221089996,0,0,2026-01-01 10:46:00,2026-01-01 11:01:42.170355,0
V94,RUTA_A,13.636006078809302,19.661239069191836,74,65,16,90,57.727987842381395,SOLEADO,BAJO,11.942324491328002,1,0,2026-01-01 16:33:00,2026-01-01 17:02:01.356231,1
V95,RUTA_A,8.447898067566019,13.678321635556193,56,28,17,84,67.10420386486797,SOLEADO,MEDIO,19.131480974325385,0,0,2026-01-01 16:42:00,2026-01-01 17:04:58.767036,1
V96,RUTA_A,14.902403320020131,31.766549002359113,62,66,14,82,52.19519335995974,SOLEADO,MEDIO,12.138008056683777,0,0,2026-01-01 13:01:00,2026-01-01 13:23:13.892453,1
V97,RUTA_C,10.338548208162255,18.32611746465557,11,53,37,96,75.3229035836755,SOLEADO,ALTO,16.1206462901405,0,0,2026-01-01 17:16:00,2026-01-01 17:27:14.998103,1
V98,RUTA_A,16.80645928471855,7.745966757935663,33,44,44,81,47.3870814305629,LLUVIA,BAJO,14.973648279271305,0,0,2026-01-01 12:25:00,2026-01-01 12:47:14.412029,1
V99,RUTA_A,17.11367851398417,34.271473772678235,13,10,58,80,45.77264297203166,NUBLADO,MEDIO,6.3889842604012514,0,0,2026-01-01 14:09:00,2026-01-01 14:20:18.418439,1
V100,RUTA_C,2.178176602318728,35.36111513250772,28,61,20,86,76.64364679536254,LLUVIA,ALTO,17.696937038847594,1,0,2026-01-01 13:02:00,2026-01-01 13:26:53.869714,1
V101,RUTA_C,8.759028475111213,18.919235367536718,35,79,49,93,75.48194304977757,LLUVIA,MUY_ALTO,16.573356670424925,0,0,2026-01-01 11:42:00,2026-01-01 12:06:49.947115,0
V102,RUTA_C,11.364714041242657,3.490139228736605,49,46,39,84,53.27057191751469,NUBLADO,MEDIO,21.916315893623043,1,1,2026-01-01 10:19:00,2026-01-01 10:47:28.140191,1
V103,RUTA_A,5.349833193807617,15.819130551718784,59,74,7,98,87.30033361238476,SOLEADO,MEDIO,18.44457461859817,0,0,2026-01-01 12:24:00,2026-01-01 12:43:53.921926,1
V104,RUTA_C,7.920305249442664,32.23973754877284,52,60,9,90,74.15938950111467,NUBLADO,MEDIO,25.16353569631505,0,0,2026-01-01 06:22:00,2026-01-01 06:31:15.403706,1
V105,RUTA_C,12.52058619900087,36.12007412757603,76,10,30,81,50.95882760199826,NUBLADO,ALTO,16.428169528314854,1,0,2026-01-01 13:35:00,2026-01-01 13:50:29.805558,1
V106,RUTA_A,4.854481857272145,8.537173328655035,21,30,15,87,77.2910362854557,LLUVIA,MEDIO,15.577879791990771,0,0,2026-01-01 12:05:00,2026-01-01 12:11:34.457113,1
V107,RUTA_C,11.23368300056569,3.1454576749982253,76,62,11,88,65.53263399886862,NUBLADO,BAJO,15.262573397131616,0,0,2026-01-01 16:00:00,2026-01-01 16:24:36.758403,1
V108,RUTA_A,12.856613078793202,35.15534289874713,36,25,57,82,56.286773842413595,SOLEADO,MUY_ALTO,14.241645155872906,0,0,2026-01-01 08:13:00,2026-01-01 08:33:51.494036,0
V109,RUTA_B,2.538437288629735,15.881495089665574,63,70,14,81,70.92312542274053,SOLEADO,MEDIO,7.168996334469725,1,0,2026-01-01 15:49:00,2026-01-01 16:10:01.281205,1
V110,RUTA_C,9.457998372466697,21.89955808856875,75,63,46,86,67.0840032550666,NUBLADO,MEDIO,15.119221491968169,0,0,2026-01-01 09:43:00,2026-01-01 10:04:24.166726,1
V111,RUTA_B,5.472360508711243,38.73859957600498,58,49,56,84,68.05527898257752,NUBLADO,BAJO,7.728581094256031,1,0,2026-01-01 08:31:00,2026-01-01 08:43:57.382496,1
V112,RUTA_A,13.314568051966758,3.129306752611803,25,35,38,84,57.37086389606648,NUBLADO,MEDIO,17.808133378343076,0,0,2026-01-01 08:52:00,2026-01-01 09:10:55.387654,1
V113,RUTA_C,4.2224436451279885,26.108561294357774,11,74,7,99,90.55511270974402,NUBLADO,MEDIO,11.039758830117663,0,0,2026-01-01 07:17:00,2026-01-01 07:45:19.965571,1
V114,RUTA_A,16.16804456414781,3.4271641917072495,69,73,12,92,54.66391087170438,LLUVIA_FUERTE,MEDIO,12.42266950764632,1,0,2026-01-01 10:00:00,2026-01-01 10:10:28.455191,0
V115,RUTA_B,8.326002720811557,15.331022674426764,63,52,35,99,82.34799455837688,NUBLADO,BAJO,13.322359220669792,0,0,2026-01-01 11:57:00,2026-01-01 12:08:55.496728,1
V116,RUTA_A,4.36605151522841,32.250674535141144,39,26,15,85,71.26789696954319,SOLEADO,MEDIO,15.180259848747019,1,0,2026-01-01 12:25:00,2026-01-01 12:38:42.763725,1
V117,RUTA_C,8.446370537955598,17.62215319384756,47,68,49,99,82.1072589240888,SOLEADO,MUY_ALTO,16.027473019756147,0,0,2026-01-01 07:35:00,2026-01-01 07:46:38.842863,0
V118,RUTA_C,7.948643967744974,39.88870297916654,37,32,11,97,81.10271206451006,SOLEADO,BAJO,20.337918332292283,0,0,2026-01-01 11:15:00,2026-01-01 11:20:45.439840,1
V119,RUTA_B,8.291622311393075,22.582841755390785,34,16,49,81,64.41675537721385,SOLEADO,MUY_ALTO,13.689879625969784,0,0,2026-01-01 15:14:00,2026-01-01 15:34:32.736847,0
V120,RUTA_A,10.954541989456597,13.185905029120162,19,53,6,85,60.090916021086805,SOLEADO,MEDIO,17.92058454488948,0,1,2026-01-01 13:12:00,2026-01-01 13:30:39.074898,1
V121,RUTA_C,9.859953323530139,9.194397373237749,69,62,10,88,68.28009335293973,SOLEADO,ALTO,26.92346893289427,0,0,2026-01-01 13:05:00,2026-01-01 13:33:21.977929,1
V122,RUTA_B,3.5462112385753457,14.34556110430339,51,43,45,82,69.90757752284931,SOLEADO,ALTO,17.50940281105292,1,0,2026-01-01 06:06:00,2026-01-01 06:12:11.699564,1
V123,RUTA_C,2.1148442349928174,15.215064313502257,49,55,36,80,70.77031153001437,SOLEADO,MEDIO,15.278040844273464,1,0,2026-01-01 08:17:00,2026-01-01 08:26:10.952070,1
V124,RUTA_C,13.400062628351188,3.2141902700964584,51,77,24,80,53.19987474329763,LLUVIA,ALTO,12.883393392286811,0,0,2026-01-01 08:10:00,2026-01-01 08:31:47.915829,1
V125,RUTA_A,10.515196410781328,15.09818087735754,56,25,38,98,71.96960717843734,SOLEADO,ALTO,15.222673818318686,1,0,2026-01-01 11:30:00,2026-01-01 11:59:47.668318,1
V126,RUTA_C,7.103013057347484,18.837421529699384,46,28,54,84,64.79397388530504,NUBLADO,MEDIO,12.455118625562378,1,0,2026-01-01 08:43:00,2026-01-01 08:55:46.245152,1
V127,RUTA_A,14.742082982467256,29.048141213432785,31,11,20,92,62.51583403506549,NUBLADO,BAJO,17.07464570673509,0,0,2026-01-01 17:48:00,2026-01-01 18:13:47.637211,1
V128,RUTA_C,7.596994062436268,26.440814646503515,66,19,29,98,79.80601187512747,LLUVIA_FUERTE,MEDIO,16.41417655455757,0,1,2026-01-01 11:38:00,2026-01-01 11:56:51.895328,0
V129,RUTA_B,14.531406523210327,28.496243381551594,36,59,16,91,56.93718695357934,SOLEADO,ALTO,7.351123116328827,1,0,2026-01-01 16:07:00,2026-01-01 16:24:01.470369,1
V130,RUTA_C,6.19785416771037,0.8303654341358554,50,21,11,95,82.60429166457926,NUBLADO,ALTO,15.92576797693573,0,0,2026-01-01 08:28:00,2026-01-01 08:53:42.666808,1
V131,RUTA_A,2.2383700582683956,9.097862283431175,43,79,43,98,88.52325988346321,LLUVIA_FUERTE,ALTO,20.304585250560052,1,0,2026-01-01 12:27:00,2026-01-01 12:35:49.563896,0
V132,RUTA_A,16.854874794598793,26.63652939179433,41,31,21,82,43.290250410802415,LLUVIA,MEDIO,14.403552591189001,1,0,2026-01-01 12:04:00,2026-01-01 12:19:19.805071,1
V133,RUTA_B,7.707369197783343,19.617580043100013,75,41,49,91,70.58526160443331,LLUVIA,ALTO,13.388412910353752,1,0,2026-01-01 16:31:00,2026-01-01 16:39:09.083147,1
V134,RUTA_C,14.475773738439424,0.7098822888996649,21,10,15,84,55.048452523121156,SOLEADO,BAJO,10.489196907532591,0,0,2026-01-01 16:30:00,2026-01-01 16:47:48.316525,1
V135,RUTA_C,5.745450264779176,32.27753837605698,49,63,10,81,69.50909947044164,SOLEADO,MEDIO,8.568031833502381,0,0,2026-01-01 10:51:00,2026-01-01 11:00:02.950777,1
V136,RUTA_B,11.988206906102151,31.025978144968327,19,67,27,86,62.0235861877957,LLUVIA,BAJO,19.325397068253018,0,0,2026-01-01 14:24:00,2026-01-01 14:52:10.210064,1
V137,RUTA_C,15.84628484538138,22.162556938245725,57,79,31,92,60.30743030923724,LLUVIA_FUERTE,BAJO,15.274086681683215,0,0,2026-01-01 10:30:00,2026-01-01 10:41:02.377501,0
V138,RUTA_C,1.7079483797796655,3.1253013681627486,29,27,50,94,90.58410324044067,NUBLADO,MEDIO,19.088086248013692,0,0,2026-01-01 12:39:00,2026-01-01 13:03:54.278923,1
V139,RUTA_A,15.120807999663517,30.777344456537094,48,15,10,82,48.75838400067296,NUBLADO,MEDIO,22.125294978317875,0,1,2026-01-01 06:02:00,2026-01-01 06:22:47.066155,1
